DR TEST,DR TRAIN,RX AVG DIF,RY AVG DIF,CORR_SHAPES
15,2.5,0.703125,1.953125,1.0
7.5,2.5,0.8418367346938775,1.760204081632653,1.0
5,2.5,0.8625,1.8,1.0
2.5,2.5,0.8552631578947368,1.4854570637119113,1.0
2.5,5,1.6551246537396123,2.1398891966759,0.9958448753462604
5,5,0.775,1.4,0.995
7.5,5,1.7346938775510203,1.989795918367347,0.9897959183673469
15,5,0.3125,1.09375,1.0
2.5,7.5,2.3926592797783934,2.5346260387811634,1.0
5,7.5,2.45,2.5875,1.0
7.5,7.5,0.9948979591836735,0.6887755102040817,1.0
15,7.5,0.46875,0.703125,1.0
2.5,15,4.231301939058172,4.750692520775623,1.0
5,15,3.825,4.6,0.995
7.5,15,3.520408163265306,3.979591836734694,1.0
15,15,0.46875,1.40625,1.0
2.5,2.5,0.7409972299168975,1.0976454293628808,0.9986149584487535
5,2.5,0.975,1.15,1.0
7.5,2.5,0.6377551020408163,1.0459183673469388,1.0
15,2.5,0.859375,0.703125,1.0
2.5,5,1.5858725761772854,1.7590027700831026,1.0
5,5,0.75,0.75,1.0
7.5,5,1.4285714285714286,1.7857142857142858,1.0
15,5,0.78125,0.9375,1.0
2.5,5,1.6759002770083102,1.682825484764543,0.9986149584487535
5,5,0.875,0.85,1.0
7.5,5,1.7857142857142858,1.7346938775510203,1.0
15,5,0.3125,0.46875,1.0
2.5,2.5,0.8795013850415513,0.9314404432132964,1.0
5,2.5,0.8375,0.8875,1.0
7.5,2.5,0.6887755102040817,0.9948979591836735,1.0
15,2.5,0.46875,1.171875,1.0
2.5,7.5,2.351108033240997,2.3614958448753463,0.997229916897507
5,7.5,1.9875,2.3625,1.0
7.5,7.5,0.45918367346938777,0.6122448979591837,1.0
15,7.5,0.46875,0.234375,1.0
2.5,7.5,2.03601108033241,2.458448753462604,1.0
5,7.5,1.8125,2.2875,1.0
7.5,7.5,0.30612244897959184,0.9948979591836735,1.0
15,7.5,0.0,0.703125,1.0
2.5,15,3.89196675900277,4.189750692520776,1.0
7.5,15,3.2142857142857144,3.673469387755102,1.0
15,15,0.0,0.9375,1.0
5,15,3.625,3.775,1.0
2.5,15,3.829639889196676,4.016620498614959,1.0
5,15,3.725,3.775,1.0
7.5,15,3.36734693877551,3.36734693877551,1.0
15,15,0.0,0.0,1.0
