DR TEST,DR TRAIN,RX AVG DIF,RY AVG DIF,CORR_SHAPES
15,2.5,3.046875,3.75,0.9375
7.5,2.5,1.530612244897959,2.0408163265306123,0.9795918367346939
5,2.5,1.35,1.8,0.99
2.5,2.5,1.1634349030470914,1.6793628808864265,0.9916897506925207
2.5,5,1.7174515235457064,2.1329639889196677,0.997229916897507
5,5,0.75,1.1,1.0
7.5,5,1.8877551020408163,1.8877551020408163,1.0
15,5,0.625,1.09375,1.0
2.5,7.5,2.3026315789473686,2.3164819944598336,1.0
5,7.5,2.2125,2.3875,1.0
7.5,7.5,0.45918367346938777,0.3826530612244898,1.0
15,7.5,0.0,0.234375,1.0
2.5,15,4.702216066481994,5.56786703601108,1.0
5,15,4.45,5.15,1.0
7.5,15,4.13265306122449,4.285714285714286,1.0
15,15,0.9375,2.8125,1.0
2.5,2.5,0.7340720221606648,0.9522160664819944,1.0
5,2.5,0.7875,0.85,1.0
7.5,2.5,0.8673469387755102,0.9693877551020408,1.0
15,2.5,0.625,1.015625,1.0
2.5,5,1.6274238227146813,1.440443213296399,1.0
5,5,0.625,0.45,1.0
7.5,5,1.5816326530612246,1.2244897959183674,1.0
15,5,0.15625,0.15625,1.0
2.5,5,1.8836565096952909,1.57202216066482,1.0
5,5,0.95,0.725,1.0
7.5,5,1.6326530612244898,1.4795918367346939,1.0
15,5,0.78125,0.3125,1.0
2.5,2.5,1.0457063711911356,1.06994459833795,0.9986149584487535
5,2.5,1.1125,1.075,1.0
7.5,2.5,0.7653061224489796,0.7908163265306123,1.0
15,2.5,1.328125,0.9375,1.0
2.5,7.5,2.3822714681440442,2.0083102493074794,1.0
5,7.5,2.175,2.3125,0.995
7.5,7.5,0.5357142857142857,0.6122448979591837,1.0
15,7.5,0.234375,0.703125,1.0
2.5,7.5,2.087950138504155,2.2506925207756234,1.0
5,7.5,1.9875,2.0625,1.0
7.5,7.5,0.15306122448979592,0.3826530612244898,1.0
15,7.5,0.234375,0.46875,1.0
2.5,15,3.850415512465374,4.626038781163435,1.0
7.5,15,3.2142857142857144,4.13265306122449,1.0
15,15,0.0,0.46875,1.0
5,15,3.65,4.4,1.0
2.5,15,4.293628808864266,3.9542936288088644,1.0
5,15,3.95,3.775,1.0
7.5,15,3.36734693877551,3.36734693877551,1.0
15,15,0.0,0.9375,1.0
