DR TEST,DR TRAIN,RX AVG DIF,RY AVG DIF,CORR_SHAPES
15,2.5,2.265625,1.953125,0.9375
7.5,2.5,1.4795918367346939,1.1224489795918366,0.9897959183673469
5,2.5,1.4875,1.6625,0.985
2.5,2.5,1.3331024930747923,1.4542936288088644,0.9944598337950139
2.5,5,1.6066481994459834,1.7520775623268698,1.0
5,5,0.625,0.9,1.0
7.5,5,1.2755102040816326,1.683673469387755,1.0
15,5,0.3125,1.09375,1.0
2.5,7.5,2.0498614958448753,2.1329639889196677,1.0
5,7.5,1.925,2.25,1.0
7.5,7.5,0.22959183673469388,0.3826530612244898,1.0
15,7.5,0.46875,0.46875,1.0
2.5,15,4.473684210526316,5.810249307479224,1.0
5,15,4.275,5.65,1.0
7.5,15,3.36734693877551,4.591836734693878,1.0
15,15,0.0,2.8125,1.0
2.5,2.5,0.8933518005540166,1.0318559556786704,1.0
5,2.5,0.9125,1.1625,1.0
7.5,2.5,0.6122448979591837,1.403061224489796,1.0
15,2.5,0.703125,0.9375,1.0
2.5,5,1.5581717451523547,1.6481994459833795,1.0
5,5,0.675,0.7,1.0
7.5,5,1.683673469387755,1.9387755102040816,0.9897959183673469
15,5,1.40625,0.625,1.0
2.5,5,1.745152354570637,1.9113573407202216,1.0
5,5,1.125,1.225,1.0
7.5,5,1.683673469387755,1.8877551020408163,1.0
15,5,1.09375,0.46875,1.0
2.5,2.5,1.0872576177285318,1.2188365650969528,0.9986149584487535
5,2.5,1.2,0.95,1.0
7.5,2.5,1.0714285714285714,1.1734693877551021,1.0
15,2.5,1.171875,0.546875,1.0
2.5,7.5,2.119113573407202,2.257617728531856,1.0
5,7.5,2.05,2.125,1.0
7.5,7.5,0.3826530612244898,0.6887755102040817,1.0
15,7.5,0.0,0.234375,1.0
2.5,7.5,2.0117728531855956,2.2541551246537397,1.0
5,7.5,2.0375,2.375,1.0
7.5,7.5,0.07653061224489796,0.6887755102040817,1.0
15,7.5,0.234375,1.171875,1.0
2.5,15,3.912742382271468,3.9750692520775623,1.0
7.5,15,3.2142857142857144,3.2142857142857144,1.0
15,15,0.0,0.0,1.0
5,15,3.575,3.575,1.0
2.5,15,3.7742382271468142,3.9058171745152355,1.0
5,15,3.275,3.825,1.0
7.5,15,3.2142857142857144,3.36734693877551,1.0
15,15,0.0,0.0,1.0
